Store Name,City,Zip Code,County,Category Name,Vendor Name,Item Description
PUFF N SNUFF,NORTHWOOD,51106,TAYLOR,CINNAMON SCHNAPPS,"IMPERIAL BRANDS, INC.",MCCORMICK VODKA PET
HY-VEE FOOD STORE #3 / DES MOINES,OSKALOOSA,50428,SAC,WATERMELON SCHNAPPS,AVENIU BRANDS,PARAMOUNT GOLD RUM
HY-VEE FOOD STORE / CEDAR FALLS,CENTERVILLE,50472,ALLAMAKEE,WHISKEY LIQUEUR,"CHARLES JACQUIN ET. CIE., INC.",CAPTAIN MORGAN PARROT BAY PINEAPPLE
HY-VEE FOOD STORE / SHELDON,RED OAK,50129,SIOUX,TRIPLE SEC,SHAW ROSS INTERNATIONAL IMPORTERS LL,SVEDKA VANILLA VODKA
XO FOOD AND LIQUOR,SIOUX RAPIDS,50459,DICKINSON,SINGLE BARREL BOURBON WHISKIES,CHARLES JACQUIN/INDEPENDENT SPIRITS,UV RED (CHERRY) VODKA
BIG G FOOD STORE,GRUNDY CENTER,52246,MADISON,DISTILLED SPIRITS SPECIALTY,IOWA DISTILLING COMPANY,BACARDI TORCHED CHERRY
HY-VEE FOOD STORE / SIOUX CITY,JEFFERSON,52577,CRAWFORD,PEPPERMINT SCHNAPPS,CASTLE BRANDS,CHRISTIAN BROS BRANDY
QUICK SHOP / CLEAR LAKE,PLEASANTVILLE,52544,WRIGHT,BOTTLED IN BOND BOURBON,BLACK ROCK SPIRITS,PAUL MASSON GRANDE AMBER BRANDY
TOBACCO HUT #14 / COUNCIL BLUFFS,LENOX,51566,WINNESHIEK,APPLE SCHNAPPS,PARK STREET IMPORTS-VOLI,RED STAG BY JIM BEAM
CHUCK'S SPORTSMANS BEVERAGE,EDGEWOOD,50585,HAMILTON,OTHER PROOF VODKA,"WILDMAN AND SONS, F.",CANADIAN LTD WHISKY
HY-VEE DRUGSTORE / MARION,SAC CITY,50638,PAGE,BUTTERSCOTCH SCHNAPPS,DUGGAN'S DISTILLERS PRODUCTS CORP,HAWKEYE BLEND WHISKEY
CORK IT!,WEST DES MOINES,50317,AUDUBON,WHITE CREME DE CACAO,"HOOD RIVER DISTILLERS, INC.",CAPTAIN MORGAN ORIGINAL SPICED
SHADE TREE LIQUORS,WAUKON,51105,CALHOUN,CHERRY BRANDIES,PARK STREET IMPORTS-BERENTZEN,DR. MCGILLICUDDY'S MENTHOLMINT
WAL-MART 1721 / IOWA CITY,CORALVILLE,50225,PALO ALTO,TROPICAL FRUIT SCHNAPPS,WINDY HILL SPIRITS,THREE OLIVES VODKA
FAREWAY STORES #093 / AMES,MT VERNON,50701,WASHINGTON,IMPORTED AMARETTO,NICHE IMPORT CO.,BLACK VELVET TOASTED CARAMEL
HY-VEE #1044 / BURLINGTON,NORWALK,50851,FAYETTE,DARK CREME DE CACAO,"YAHARA BAY DISTILLERS, INC",PARAMOUNT GIN
BEECHER BEVERAGE,SIOUX CENTER,52042,CHEROKEE,ROOT BEER SCHNAPPS,FOUR ROSES DISTILLERY,TANQUERAY GIN
