Store Name,City,Zip Code,County,Category Name,Vendor Name,Item Description
YESWAY STORE # 10012/ OTTUMWA,,,,,,EZRA BROOKS CINNAMON
CASEY'S GENERAL STORE #2683  /  RUNN,,,,,,J.R. EWING PRIVATE RESERVE
FAS MART # 5150/ CEDAR RAPIDS,,,,,,GRAND MARNIER CORDON ROUGE CHERRY
CASEY'S GENERAL STORE #1550 / WINFIELD,,,,,,BLUE CHAIR BAY COCONUT RUM MINI
FAREWAY STORES #167/JOHNSTON,,,,,,SHADY FRUIT REAL VALENCIA ORANGE MINI
CASEY'S GENERAL STORE #2902 / SPENCER,,,,,,SILVERCOIN TEQUILA
CASEY'S GENERAL STORE #3045 / CEDAR FALLS,,,,,,PURPLE PASSION 4 PACK
CASEY'S GENERAL STORE #2498 / WAPELLO,,,,,,AGAVERO LIQUEUR
CASEY'S GENERAL STORE #2357 / ALLISON,,,,,,MALIBU MELON MARGARITA COCKTAIL
CASEY'S GENERAL STORE #2237 / PRAIRIE CITY,,,,,,BLACK DUCK CRANBERRY LIQUEUR
CASEY'S GENERAL STORE #3717 / VINTON,,,,,,CROWN ROYAL W/FLASK
CASEY'S GENERAL STORE #37 / DAKOTA CITY,,,,,,PINNACLE CINNABON MINI
CASEY'S GENERAL STORE #2874 / RICEVILLE,,,,,,SVEDKA GRAPEFRUIT JALAPENO MINI
CASEY'S GENERAL STORE #2767 / CEDAR RAPIDS,,,,,,STOLICHNAYA VANIL
FINE LIQUOR & TOBACCO,,,,,,HENNESSY VS RYAN MCGINNESS LIMITED EDITION
CASEY'S GENERAL STORE #3463 / WEST B,,,,,,LONGMORN 16YR SCOTCH
KIMMES WALL LAKE,,,,,,THREE OLIVES WHIPPED CREAM
UMIYA FOODMART INC,,,,,,SIX SHOOTER SMOKE
CASEY'S GENERAL STORE #2168 / DAVENPORT,,,,,,SEAGRAM'S DISTILLERS RESERVE GIN
CASEY'S GENERAL STORE # 2517/ ROCKWELL CITY,,,,,,BELVEDERE RED
CASEY'S GENERAL STORE # 3564/ ROBINS,,,,,,BARTENDER'S I'M BANANAS OVER U
CASEY'S GENERAL STORE #1599 / MT VERNON,,,,,,TGIFRIDAYS ULTIMATE MUDSLIDE
"CLARKSVILLE HOMETOWN GROCERY, INC.",,,,,,MEMBER'S MARK SPICED RUM
YESWAY STORE # 10025/ NEWTON,,,,,,CHAMBORD LIQUEUR MINIS
CASEY'S GENERAL STORE #2520 / GRIMES,,,,,,DEKUYPER CREME DE MENTHE GREEN
CASEY'S GENERAL STORE #3442 / MAPLET,,,,,,BURNETT'S RUBY RED GRAPEFRUIT
CASEY'S GENERAL STORE #2640 / PLEASA,,,,,,ICE SURGE TROPICAL FREEZE
CASEY'S GENERAL STORE #3215 / OSKALOOSA,,,,,,SAUZA SPARKLING WILD BERRY MARGARITA
COSTCO WHOLESALE #1325 / DAVENPORT,,,,,,PINNACLE CUCUMBER
CASEY'S GENERAL STORE #3029 / ARMSTRONG,,,,,,ULTIMAT VODKA
YESWAY STORE #1037/ GRIMES,,,,,,ABSOLUT MINI TRIAL PACK
CASEY'S GENERAL STORE # 1591/ DECORAH,,,,,,WILD TURKEY 101 W/2 GLASSES
CASEY'S GENERAL STORE # 2783/ URBAND,,,,,,STUDEBAKER OLD FASHIONED
MARION MARKET & CAFE',,,,,,STOLICHNAYA NIGHT EDITION
GM FOOD MART,,,,,,RON BURGUNDY
HY-VEE C-STORE / FAIRFEILD,,,,,,VEEV ACAI
CASEY'S GENERAL STORE #3617 / GRINNELL,,,,,,ORLOFF LIGHT VODKA
CASEY'S GENERAL STORE #3024 / MEDIAPOLIS,,,,,,E.H. TAYLOR JR. SMALL BATCH
CASEY'S GENERAL STORE #2628 / LAKE CITY,,,,,,BIG PEACH LIQUEUR
CASEY'S GENERAL STORE #45 / DES MOINES,,,,,,FOUR ROSES 2014 LIMITED EDITION SMALL BATCH HA
CASEY'S GENERAL STORE #3200 / STRAWBERRY POINT,,,,,,PEARL PLUM VODKA
CASEY'S GENERAL STORE # 2607/ SIOUX CITY,,,,,,CORRALEJO REPOSADO W/SHOT GLASSES
CASEY'S GENERAL STORE #2552 / GOLDFIELD,,,,,,THE GLENLIVET ARCHIVE 21YR SING MALT HA
CASEY'S GENERAL STORE # 2179/ WAUKEE,,,,,,BACARDI CLASSIC COCKTAILS PINA COLADA
CASEY'S GENERAL STORE # 2212/ CEDAR RAPIDS,,,,,,BORU IRISH VODKA
WHITE OAK STATION #52,,,,,,MACALLAN FINE OAK 15YR
CASEY'S GENERAL STORE #77 / CASCADE,,,,,,CANADIAN LTD
CASEY'S GENERAL STORE #2811 / SPRINGVILLE,,,,,,ELIJAH CRAIG 12YR BOURBON
CROSSROADS OF ALGONA,,,,,,ROGUE SINGLE MALT WHISKEY
CASEY'S GENERAL STORE #2915 / BELLEVUE,,,,,,HERRADURA SILVER
380BP / SWISHER,,,,,,ABSOLUT KURANT
CASEY'S GENERAL STORE # 2780/CEDAR RAPIDS,,,,,,GREY GOOSE W/2 MARTINI GLASSES
CASEY'S GENERAL STORE #2614 / DONNELLSON,,,,,,SOUTHERN COMFORT CARAMEL
BP  /  DUBUQUE,,,,,,E.H. TAYLOR JR. SINGLE BARREL HA
CASEY'S GENERAL STORE #3756 / CEDAR RAPIDS,,,,,,CLUB STRAWBERRY MARGARITA
LOUST TOBACCO & LIQUOR / DUBUQUE,,,,,,CLUB PEACH DAIQUIRI POUCH
WHITE OAK STATION #53,,,,,,BURNETT'S CHERRY COLA
CASEY'S GENERAL STORE # 2598/ PELLA,,,,,,MR. BOSTON EGG NOG
BLAIRSTOWN QUICK STOP,,,,,,PRAIRIE ORGANIC GIN
CASEY'S GENERAL STORE # 3562/ MARION,,,,,,BUSNEL CALVADOS FINE
"AMERICAN HERITAGE DISTILLERS, LLC",,,,,,AGWA HERBAL LIQUEUR
OLSEN'S BP,,,,,,BLUE CHAIR BAY BANANA RUM MINI
FOUNDRY DISTILLING COMPANY,,,,,,CHIVAS REGAL 18 YEAR
CROSSROADS OF HUMBOLDT,,,,,,GODIVA CHOCOLATE VODKA
HOMETOWN FOODS,,,,,,DISARONNO AMARETTO CAVALLI W/2 GLASSES
CASEY'S GENERAL STORE #2538-WAUKEE,,,,,,WHITE HORSE SCOTCH
CASEY'S GENERAL STORE #2222 / CLINTON,,,,,,SHAKER'S ORIGINAL AMERICAN VODKA
CASEY'S GENERAL STORE # 3509/ CARTER LAKE,,,,,,ICE SURGE BERRY BLIZZARD
DYNO'S #40 / SPENCER,,,,,,ROGER CLYNES MEXICAN MOONSHINE SILVER TEQUILA
BEER BARN,,,,,,NEW AMSTERDAM GIN MINI
CASEY'S GENERAL STORE #1303,,,,,,SERPENT'S BITE APPLE CIDER FLAVORED WHISKY MINI
FAS MART # 5159/ DUBUQUE,,,,,,THREE OLIVES LOOPY MINI
SUPER SAVER LIQUOR -MUSCATINE,,,,,,BLACKHEART PLAYBOY EDITION
BEER THIRTY DENISON,,,,,,DOUBLE CROSS
NEW STAR / KNOXVILLE,,,,,,BEEFEATER W/ 4 COASTERS
218 FUEL EXPRESS,,,,,,CHARBAY BLOOD ORANGE VODKA
TIGER MART,,,,,,COLD SPELL MINT WHISKEY MINI
CASEY'S GENERAL STORE #2592 / FARMINGTON,,,,,,CARAVELLA LIMONCELLO MINI
CASEY'S GENERAL STORE #3322 / IOWA CITY,,,,,,CHARTREUSE YELLOW
BEECHER CO INC,,,,,,DELEON REPOSADO
CASEY'S GENERAL STORE #2 / BOONE,,,,,,HAIG CLUB
LAZY RIVER BEVERAGE AND MORE,,,,,,YAHARA BAY APPLE BRANDY
FAREWAY #193,,,,,,PINNACLE PECAN PIE
WHITE OAK STATION #82 / NEVADA,,,,,,HOT STUFF MINI
CASEY'S GENERAL STORE #3371 / NEW HARTFORD,,,,,,SOBIESKI W/FLASK
CASEY'S GENERAL STORE # 2817/ GRISWOLD,,,,,,KINKY VODKA MINI
CASEY'S GENERAL STORE #2478 / NEW SHARON,,,,,,DEL MAGUEY VIDA MEZCAL
KUM & GO #3502 / IOWA CITY,,,,,,RED BOOT CORN WHISKEY
CASEY'S GENERAL STORE #1065 / ASBURY,,,,,,BAKER'S 7YR
CASEY'S GENERAL STORE #2585 / DYERSVILLE,,,,,,PARAMOUNT WHIPT CREME VODKA
EXPRESS LANE GAS & FOOD MART #79,,,,,,CORRALEJO ANEJO TEQUILA
EHLINGER'S VINTON EXPRESS,,,,,,WOODFORD RESERVE W/GLASS
CASEY'S #1025 /KALONA,,,,,,AZUL SILVER
GASLAND EXPRESS / CORYDON,,,,,,STOLI WILD CHERRI VODKA
CASEY'S GENERAL STORE #2782 / CEDAR RAPIDS,,,,,,VAN GOGH PEANUT BUTTER AND JELLY VODKA
CASEY'S GENERAL STORE #3044 / SHELDON,,,,,,TOBERMORY 10YR
CASEY'S GENERAL STORE #2634 / EDGEWOOD,,,,,,FETTERCAIRN
CASEY'S GENERAL STORE #68 / ALTON,,,,,,SEAGRAM'S PINEAPPLE TWISTED MINI
CASEY'S GENERAL STORE #2765 / CEDAR RAPIDS,,,,,,ABSOLUT WARHOL
YESWAY # 1009/ HARLAN,,,,,,HENNESSY VS SHEPARD FAIREY
CASEY'S GENERAL STORE #2515 / DAYTON,,,,,,LITTLE BLACK DRESS PINEAPPLE HONEY
CASEY'S GENERAL STORE # 2511/ CRESCO,,,,,,RED STATE BOURBON
CASEY'S GENERAL STORE # 3546/ MONONA,,,,,,REBEL YELL AMERICAN WHISKEY
CASEY'S GENERAL STORE #1455,,,,,,"NIKKA TAKETSURU 17 YR, PURE MALT"
CASEY'S GENERAL STORE #1493 / VAN METER,,,,,,WICKED 87 AMERICAN LIGHT WHISKEY
CASEY'S GENERAL STORE #2690 / ANAMOSA,,,,,,CRYSTAL HEAD AURORA VODKA
CASEY'S GENERAL STORE #1144 / POLK CITY,,,,,,DR. MCGILLICUDDY'S VANILLA MINI
CASEY'S GENERAL STORE #2097 / INDIANOLA,,,,,,360 SORRENTO LEMON VODKA
YESWAY #1031,,,,,,STIRRINGS GINGER LIQUEUR
HY-VEE - FOREST CITY,,,,,,LUXARDO MARASCHINO
CASEY'S GENERAL STORE #2768 / CEDAR RAPIDS,,,,,,MERRYS WHITE CHOCOLATE LIQUEUR W/2 GLASSES
CASEY'S GENERAL STORE #66 / LAPORTE CITY,,,,,,DON Q LIMON
CASEY'S GENERAL STORE #2274 / SIOUX RAPIDS,,,,,,LUCID ABSINTHE LIQUEUR W/GLASS
CASEY'S GENERAL STORE #1921- ACKLEY,,,,,,KINKY BLUE 375ML & PINK 375ML W/2 SHOT GLASSES
CASEY'S GENERAL STORE # 3054/ WEBSTER CITY,,,,,,LARRESSINGLE VSOP ARMAGNAC VSOP
PETRO STOP - NEWTON,,,,,,BOOKERS BOURBON (DO NOT USE)
CASEY'S GENERAL STORE #3294 / URBANA,,,,,,BOWMORE SMALL BATCH
HASS MARKET,,,,,,MONKEY SHOULDER
CASEY'S GENERAL STORE #3789,,,,,,CLIX VODKA HA
CASEY'S GENERAL STORE #2908 / ANAMOSA,,,,,,PRICHARD'S SWEET LUCY CREAM
CASEY'S GENERAL STORE #3223 / CRESTON,,,,,,FIGHTING COCK BOURBON
CASEY'S GENERAL STORE #2519 / MERRILL,,,,,,BELVEDERE MANGO PASSION
CASEY'S GENERAL STORE #2533 / MARENGO,,,,,,SKYY INFUSIONS PACIFIC BLUEBERRY
LONELY OAK DISTILLERY,,,,,,ST. GERMAIN MINI
CASEY'S GENERAL STORE #1374 / COLFAX,,,,,,IRISHMAN CREAM LIQUEUR
CASEY'S GENERAL STORE #25 / MOUNT AYR,,,,,,SVEDKA 100 PROOF
CASEY'S GENERAL STORE #1327 / LOVILIA,,,,,,MALIBU W/DOLE PINEAPPLE JUICE
GASLAND EXPRESS / CHARITON,,,,,,RELSKA VODKA
CASEY'S GENERAL STORE #3730 / PAULLINA,,,,,,PUEBLO VIEJO BLANCO
CASEY'S GENERAL STORE # 2781/ IOWA CITY,,,,,,A+
CASEY'S GENERAL STORE #2208 / OTTUMWA,,,,,,OLE SMOKY ORIGINAL CORN MOONSHINE
CASEY'S GENERAL STORE #3772,,,,,,EL JIMADOR BLANCO W/GLASS
FLASHMART #104,,,,,,CORRALEJO BLANCO TEQUILA
CASEY'S GENERAL STORE #3201 / COUNCIL BLUFFS,,,,,,PHILLIPS ROOT BEER SCHNAPPS 100 PROOF
SUPER STOP IV - DUBUQUE,,,,,,LEROUX JEZNOWKA POLISH BLACKBERRY BRANDY
CASEY'S GENERAL STORE -CENTER POINT,,,,,,DEKUYPER MIXOLOGIST GINGER
CASEY'S GENERAL STORE #1886 / OTTUMWA,,,,,,BUCHANAN'S MASTER
CASEY'S GENERAL STORE #3291,,,,,,MALIBU COUNTER UNIT
CASEY'S GENERAL STORE #3327 / FAIRFIELD,,,,,,AUCHENTOSHAN
EICHMAN ENTERPRISES INC / SAGEVILLE,,,,,,OLE SMOKY TENNESSE MOONSHINE- WHITE LIGHTNIN
BREW GAS COFFEE WINE SPIRITS,,,,,,SMIRNOFF POMEGRANATE MARTINI
CASEY'S GENERAL STORE #1651 / ALBIA,,,,,,MIDNIGHT MOON RASPBERRY
CASEY'S GENERAL STORE #1678 / OTTUMWA,,,,,,HIGHLAND PARK 18YR SING MALT SCOTCH HA
CASEY'S GENERAL STORE #2864,,,,,,GEORGE T STAGG BOURBON HA
CASEY'S GENERAL STORE #1682 / OSKALOOSA,,,,,,JIM BEAM W/3-50MLS
ONE STOP SHOP #4 - DENISON,,,,,,1800 SILVER
GASLAND N8TH ST / BURLINGTON,,,,,,EXOTICO BLANCO
CASEY'S GENERAL STORE #1577 / ALBIA,,,,,,RON ZACAPA 23YR
CASEY'S GENERAL STORE # 1029/ TAMA,,,,,,CAZADORES BLANCO
CASEY'S GENERAL STORE # 3513/ BELLE PLAINE,,,,,,WOODFORD RESERVE MASTERS COLLECTION PINOT NOIR HA
QUIK N HANDI III,,,,,,SPICEBOX CANADIAN SPICED WHISKY
TEMPLETON DISTILLING LLC,,,,,,AGAVERO ORANGE TEQUILA LIQUEUR
SUPER STOP & SHOP / BALDWIN,,,,,,CONNEMARA SINGLE MALT
CASEY'S GENERAL STORE # 3604/HINTON,,,,,,GREY GOOSE LE MELON MINI
CASEY'S GENERAL STORE # 2272/COLFAX,,,,,,GLENKINCHIE SING MALT SCOTCH 12YR HA
10TH HOLE INN & SUITE / GIFT SHOP,,,,,,DON JULIO BLANCO
KEYSTONE LIQUOR & WINE / CORALVILLE,,,,,,ST. GERMAIN W/CARAFE
CASEY'S #3763 -WAVERLY,,,,,,GLENFIDDICH 1963 REPLICA HA
KUM & GO # 119/ NORTHWOOD,,,,,,IRISHMAN IRISH COFFEE
JOHNSON BROTHERS WIRTZ,,,,,,HIRAM WALKER CHERRY BRANDY
CASEY'S #3746,,,,,,HOLSTEIN SINGLE BARREL SIPPIN' RUM
KUM & GO # 532/ WEST DSM,,,,,,GLEN ORD
NORTH AMERICAN SPIRITS,,,,,,SWELL VODKA
YESWAY STORE # 10016/ FORT DODGE,,,,,,DELEON PLATINUM
CASEY'S GENERAL STORE # 2560,,,,,,GLENMORANGIE 18YR HA
KUM & GO #502 / IOWA CITY,,,,,,MIDNIGHT MOON APPLE PIE W/ DRINKING JAR
CROSSROADS FO SPENCER,,,,,,SKYY INFUSIONS TEXAS GRAPEFRUIT
CEDAR RIDGE,,,,,,CRYSTAL HEAD W/SHAKER
SHELBY GENERAL STORE,,,,,,PATRON ANEJO W/CRYSTAL BEES
THREE BROTHERS LIQUORS,,,,,,TANGLE RIDGE CANADIAN WHISKY
PRIME MART 2,,,,,,BENEDICTINE LIQUEUR DOM
FLASHMART #103/ANITIA,,,,,,PATRON GRAN BURDEOS
EAST SIDE LIQUOR AND TOBACCO,,,,,,JOSE CUERVO SPARKLING PALOMA 4PK CANS
"SUPER LUCKY, INC",,,,,,FUZZY'S ULTRA PREMIUM CHECKERED FLAG
KUM & GO # 1056/ BEVINGTON,,,,,,ROKK RASPBERRY VODKA
SMOKIN' JOE'S TOBACCO & LIQUOR OUTLET # 8,,,,,,GRAN CENTENARIO ANEJO
PRIME MART 7,,,,,,DEKUYPER COFFEE BRANDY
HY-VEE WINE AND SPIRITS,,,,,,HARTLEY BRANDY
QUIK TRIP #530,,,,,,E.H. TAYLOR JR. STRAIGHT RYE WHY. HA
HOMETOWN FOODS-STATE CENTER,,,,,,PADDY OLD IRISH WHISKEY
HY-VEE,,,,,,JACQUIN'S APRICOT BRANDY
HY-VEE #2,,,,,,REDBREAST 21YR HA
HY-VEE FOOD STORE / DOUGLAS,,,,,,KAHLUA SAMPLER PACK
KUM & GO #1436,,,,,,OLE SMOKY APPLE PIE W/FLASK
SMOKIN JOE'S TOBACCO & LIQUOR #6,,,,,,ARDBEG ARDBOG
CASEY'S GENERAL STORE #2447 / SERGEANT BLUFF,,,,,,WILLETT POT STILL RESERVE HA
CASEY'S GENERAL STORE # 3523/ ELDRIDGE,,,,,,BISON RIDGE CANADIAN WHISKY 8YR
CASEY'S GENERAL STORE #2480 / CHARLES CITY,,,,,,PATRON XO CAFE W/2 PILSNER GLASSES
CASEY'S GENERAL STORE #3679 / STORM LAKE,,,,,,BACARDI COCKTAILS MOJITO LIGHT
FAS MART #5148 / CEDAR RAPIDS,,,,,,URSUS GREEN APPLE VODKA
GREAT RIVER BREWERY,,,,,,SOUTHERN COMFORT FIERY PEPPER
LIQUOR TOBACCO & GROCERY / MASON CIT,,,,,,TULLAMORE DEW
FLAMING HOT FISH AND CHICKEN LLC,,,,,,ABSOLUT NIGHTLIFE
HY-VEE WINE AND SPIRITS / LE MARS,,,,,,RITTENHOUSE RYE 100 PROOF-HA
CENEX - HAMPTON,,,,,,KRU PISTACHIO MINI
CASEY'S GENERAL STORE #5760 / TIPTON,,,,,,HUDSON NEW YORK CORN
CASEY'S GENERAL STORE #2610 / ATLANTIC,,,,,,SAUZA CUCUMBER CHILI
CASEY'S GENERAL STORE #2629 / RIVERSIDE,,,,,,WILLETT FAMILY ESTATE SINGLE BARREL RYE HA
HY-VEE C-STRORE - DOUGLAS,,,,,,CORONET VSQ BRANDY
STATION MART #2,,,,,,BOMBAY ORIGINAL GIN
GOPUFF / IOWA CITY,,,,,,CHAMBORD FLAVORED VODKA
HY-VEE FAST & FRESH - DES MOINES,,,,,,JIM BEAM'S CHOICE 5 YR
BROTHER'S MARKET / CLARION,,,,,,SMIRNOFF CINNA-SUGAR TWIST MINI
CASEY'S GENERAL STORE #2636 / KEOKUK,,,,,,SCORPION MEZCAL SILVER
CASEY'S GENERAL STORE #2491 / CLARINDA,,,,,,WILD TURKEY SPICED
CASEY'S GENERAL STORE #1378 / JESUP,,,,,,RHETORIC HA
RAYSMARKET,,,,,,HENNESSY VS FLASK SLEEVE
CASEY'S GENERAL STORE #2920 / ANKENY,,,,,,HUDSON BABY BOURBON
SWEETWATER SPIRITS - LIVERMORE,,,,,,1792 SWEET WHEAT HA
CASEY'S GENERAL STORE #2898 / CLARENCE,,,,,,JOSE CUERVO PLATINO RESERVA DE LA FAMILIA
CASEY'S GENERAL STORE #1950 / GRINNELL,,,,,,COURVOISIER VS W/FLASK
CASEY'S GENERAL STORE #2944 / MUSCATINE,,,,,,WILD TURKEY DIAMOND HA
CASEY'S GENERAL STORE #2431 / SIOUX CENTER,,,,,,CLUB LIME MARGARITA
CASEY'S GENERAL STORE #1265 / SIBLEY,,,,,,ORONOCO PLATINUM RESERVE RUM(DNO)
CASEY'S GENERAL STORE #1166 / HULL,,,,,,GIBSON'S FINEST AGED 12 YR
CASEY'S GENERAL STORE #1062 / PLEASANT HILL,,,,,,CAPEL PISCO PREMIUM
HY-VEE FAST & FRESH EXPRESS- BETTENDORF,,,,,,SCAPA 16YR SING MALT SCOTCH
CASEY'S GENERAL STORE #3645 / LONE TREE,,,,,,CARAVELLA LIMONCELLO W/GLASS
CASEY'S GENERAL STORE #2342 / BURLINGTON,,,,,,DON Q COCONUT RUM
CASEY'S GENERAL STORE #1922 / WALCOTT,,,,,,OPULENT
CASEY'S GENERAL STORE #3858 - IOWA CITY,,,,,,AUCHENTOSHAN CLASSIC
CASEY'S GENERAL STORE #1277 / FORT DODGE,,,,,,CABO WABO ANEJO
CASEY'S GENERAL STORE #2060 / POCAHONTAS,,,,,,CHIVAS REGAL 18YR TIN HA
HY-VEE FAST & FRESH - KNOXVILLE,,,,,,BURNETT'S POMEGRANATE
CASEY'S GENERAL STORE #2487 / SPIRIT LAKE,,,,,,ROTHMAN & WINTER ORCHARD PEACH
CASEY'S GENERAL STORE #2474 / HUXLEY,,,,,,MAUI TROPICAL SCHNAPPS
CASEY'S GENERAL STORE #1828 / WEBSTER CITY,,,,,,SKINOS
CASEY'S GENERAL STORE #55 / MARCUS,,,,,,CASA NOBLE CRYSTAL(BLANCO)
CASEY'S GENERAL STORE #26 / PERRY,,,,,,MALIBU CRANBERRY CHERRY MINI
CASEY'S GENERAL STORE #1315 / ARNOLDS PARK,,,,,,STEEL DRUM PURE CANE RESERVE
CASEY'S GENERAL STORE #1609 / ELDON,,,,,,PINNACLE CINNABON
CASEY'S GENERAL STORE #2864/EVANSDALE,,,,,,PINNACLE PECAN PIE MINI
CASEY'S GENERAL STORE #2672 / SANBORN,,,,,,BROWN JUG BOURBON CREAM
HY-VEE FAST & FRESH EXPRESS- CRESTON,,,,,,THREE OLIVES W/CHOLULA
CASEY'S GENERAL STORE #1887 / CEDAR FALLS,,,,,,COURVOISIER GOLD
CASEY'S GENERAL STORE #2836 / MONROE,,,,,,E.H. TAYLOR JR. BARREL PROOF HA
CASEY'S GENERAL STORE #3025 / CARROLL,,,,,,MAKER'S MARK CASK STRENGTH
CASEY'S GENERAL STORE #3037 / CHEROKEE,,,,,,URSUS BLUE RASPBERRY VODKA
CASEY'S GENERAL STORE #2530 / ALTA,,,,,,MAKER'S MARK CASK STRENGTH HA
HY-VEE C-STORE - EAST HICKMAN,,,,,,99 BLACKBERRIES MINI
ROCKINGHAM LIQUOR - DAVENPORT,,,,,,WILLIAM L. WELLER BOURBON HA
LEAF BROTHERS CIGARS / WDM,,,,,,JIM BEAM W/ BARBECUE SAUCE
CASEY'S GENERAL STORE #2512 / HILLS,,,,,,DEATH'S DOOR VODKA
CASEY'S GENERAL STORE #3528 / WASHINGTON,,,,,,KORBEL VSOP
HY-VEE GAS #4 / DES MOINES,,,,,,WINDMILL RYE WHISKEY
CASEY'S GENERAL STORE #2472 / NICHOLS,,,,,,DORDA DOUBLE CHOCOLATE LIQUEUR
CASEY'S GENERAL STORE #2576 / WHAT CHEER,,,,,,DALMORE 15YR SINGLE MALT
CASEY'S GENERAL STORE #2019 / WEST BURLINGTON,,,,,,JOSE CUERVO GOLD W/1L CLASSIC MARGARITA MIX
CASEY'S GENERAL STORE #3718 / PLEASANT HILL,,,,,,FINLANDIA RASPBERRY VODKA
CASEY'S GENERAL STORE #1028 / MIDDLETOWN,,,,,,GOSLING'S DARK'N STORMY
CASEY'S GENERAL STORE #2867 / WATERLOO,,,,,,GLENMORANGIE SIGNET HA
HY-VEE FAST & FRESH EXPRESS -OSCELOA,,,,,,MADIKWE
CASEY'S GENERAL STORE # 1331/ SAC CITY,,,,,,PEARL CITRUS
CASEY'S GENERAL STORE #3782 / MOUNT AYR,,,,,,MORTLACH RARE OLD SCOTCH 86.8 PRF. HA
CASEY'S GENERAL STORE #1159 / CORRECTIONVILLE,,,,,,LEBLON CACHACA
CASEY'S GENERAL STORE #3827- ANKENY,,,,,,OBAN DISTILLERS EDITION HA
CASEY'S GENERAL STORE #2639 / MAYNARD,,,,,,HAVANA JUDGE CINNAMON
CASEY'S GENERAL STORE #61 / WILTON,,,,,,RI(1)
CASEY'S GENERAL STORE #1546 / FREMONT,,,,,,SOBIESKI CYTRON VODKA
CASEY'S GENERAL STORE #1649 / WAVERLY,,,,,,PATRON REPOSADO CITRONAGE SUMMER PACK
CASEY'S GENERAL STORE #1417 / IOWA FALLS,,,,,,THE DALMORE 12 YR SINGLE MALT SCOTCH
CASEY'S GENERAL STORE #2630 / CEDAR FALLS,,,,,,SKYY COASTAL CRANBERRY
CASEY'S GENERAL STORE #1695 / SOLON,,,,,,KE KE BEACH PLASTIC
SUPER QUICK STOP - COUNCIL BLUFFS,,,,,,FIREFLY CHERRY MOONSHINE
CASEY'S GENERAL STORE #1541 / WEST BEND,,,,,,YENI RAKI
CASEY'S GENERAL STORE #1329 / ESTHERVILLE,,,,,,BURNETT'S STRAWBERRY
CASEY'S GENERAL STORE # 2169/ INDEPENDENCE,,,,,,COINTREAU W/ LIME SQUEEZER
CASEY'S GENERAL STORE #2239 / INDEPENDENCE,,,,,,CROWN ROYAL TRI PACK
WEST FORTY MARKET - GREENE,,,,,,THREE OLIVES SUPERCOLA FLAVORED VODKA
CASEY'S GENERAL STORE #2595 / KEOKUK,,,,,,LOCK STOCK & BARREL
CASEY'S GENERAL STORE #2306 / NEVADA,,,,,,JOHNNIE WALKER COLLECTION PACK HA
CIRCLE K #4706604 / BURLINGTON,,,,,,KNOB CREEK W/2 WHISKEY STONES
CASEY'S GENERAL STORE #51 / HUMBOLDT,,,,,,SMIRNOFF PASSION FRUIT
CASEY'S GENERAL STORE #3826 - ADEL,,,,,,JEFFERSON'S BOURBON SMALL BATCH
CASEY'S GENERAL STORE #2681 / OKOBOJI,,,,,,FRAMBOISE RASPBERRY LIQUEUR
CASEY'S GENERAL STORE #2699 / ESSEX,,,,,,OBAN 18YO SCOTCH
HY-VEE FAST & FRESH EXPRESS / CRESTON,,,,,,PARAMOUNT SOUR APPLE SCHNAPPS
CASEY'S GENERAL STORE #2791 / CEDAR RAPIDS,,,,,,BRANCA MENTA
CASEY'S GENERAL STORE #2906 / MUSCATINE,,,,,,BOLS AMARETTO
CIRCLE K #4706600 / MUSCATINE,,,,,,I.W. HARPER
CASEY'S GENERAL STORE #2427 / WATERLOO,,,,,,JACK DANIELS TN HONEY & JACK DANIELS TN FIRE 750MLS W/2GLS
CASEY'S GENERAL STORE #2319 / FT MADISON,,,,,,SMIRNOFF 1.75L W/SMIRNOFF RASPBERRY 200ML
CASEY'S GENERAL STORE #2894 / INDIANOLA,,,,,,SALVADOR'S STRAWBERRY MARGARITA
CASEY'S GENERAL STORE #57 / EDDYVILLE,,,,,,HUNTERS HERBAL LIQUEUR
EZ STOP II - DUBUQUE,,,,,,JOSE CUERVO ESPECIAL SILVER TEQUILA
CASEY'S GENERAL STORE #1373 / BONDURANT,,,,,,SOHO LYCHEE
NEW STAR / WATERLOO,,,,,,CALICO JACK BLACK SPICED
MOTI'S FOOD,,,,,,PHILLIPS GIN-KA
R & R TOWN MART / RUDD,,,,,,BELLES ORGANICS BANANA BELLE
STATION MART #1 - EVANSDALE,,,,,,BURNETT'S RUBY RED GRAPEFRUIT MINI
CASEY'S GENERAL STORE #3292,,,,,,SALVADOR'S STRAWBERRY MARGARITA 200ML-4PACK
LIQUOR TOBACCO & GROCERY - MASON CITY,,,,,,MALIBU PINA COLADA LIGHT COCKTAIL
HY-VEE DOLLAR FRESH - TOLEDO,,,,,,ST. GERMAIN .750ML
CASEY'S GENERAL STORE #2256 - DEWITT,,,,,,RUSSELL'S RESERVE SINGLE BARREL RYE HA
HY-VEE GAS - PLEASANT HILL,,,,,,SOBIESKI LEMON MERINGUE
CASEY'S GENERAL STORE #1062 / WINTERSET,,,,,,HAWKEYE CHERRY
CASEY'S GENERAL STORE #2481 / BLOOMFIELD,,,,,,ODDKA SALTED CARAMEL POPCORN
HY-VEE GAS #4 - WDM,,,,,,JOSE CUERVO ESPECIAL SILVER MINI
TAYLOR QUIK PIK - COUNCIL BLUFFS,,,,,,SOBIESKI BLACK CHERRY
